sampleId	population	group	froh_genome	rare_missense_chr22	constrained_burden	divergent_burden	constrained_div_ratio	froh_quartile
HG00096	GBR	European	0.009785	12.0	2.0	1.0	1.0	4
HG00097	GBR	European	0.008802	13.0	0.0	0.0	0.0	4
HG00099	GBR	European	0.008607	16.0	0.0	0.0	0.0	4
HG00100	GBR	European	0.00991	10.0	0.0	1.0	0.0	4
HG00101	GBR	European	0.012979	9.0	0.0	1.0	0.0	4
HG00102	GBR	European	0.015004	21.0	1.0	1.0	0.5	4
HG00103	GBR	European	0.011402	12.0	0.0	0.0	0.0	4
HG00105	GBR	European	0.009314	13.0	0.0	0.0	0.0	4
HG00106	GBR	European	0.006114	11.0	0.0	0.0	0.0	3
HG00107	GBR	European	0.012964	21.0	0.0	1.0	0.0	4
HG00108	GBR	European	0.012575	8.0	0.0	0.0	0.0	4
HG00109	GBR	European	0.009354	16.0	0.0	1.0	0.0	4
HG00110	GBR	European	0.035049	25.0	0.0	0.0	0.0	4
HG00111	GBR	European	0.019919	15.0	1.0	0.0	1.0	4
HG00112	GBR	European	0.018912	17.0	1.0	1.0	0.5	4
HG00113	GBR	European	0.009449	13.0	0.0	0.0	0.0	4
HG00114	GBR	European	0.018285	17.0	0.0	1.0	0.0	4
HG00115	GBR	European	0.005799	12.0	0.0	0.0	0.0	3
HG00116	GBR	European	0.009167	13.0	0.0	1.0	0.0	4
HG00117	GBR	European	0.03989	17.0	0.0	0.0	0.0	4
HG00118	GBR	European	0.008403	5.0	0.0	1.0	0.0	3
HG00119	GBR	European	0.0097	13.0	0.0	2.0	0.0	4
HG00120	GBR	European	0.012028	10.0	0.0	1.0	0.0	4
HG00121	GBR	European	0.016841	16.0	0.0	0.0	0.0	4
HG00122	GBR	European	0.003541	21.0	0.0	1.0	0.0	2
HG00123	GBR	European	0.009249	20.0	0.0	1.0	0.0	4
HG00125	GBR	European	0.010663	16.0	0.0	1.0	0.0	4
HG00126	GBR	European	0.006314	8.0	0.0	0.0	0.0	3
HG00127	GBR	European	0.015517	12.0	0.0	1.0	0.0	4
HG00128	GBR	European	0.009295	14.0	0.0	0.0	0.0	4
HG00129	GBR	European	0.010185	16.0	0.0	0.0	0.0	4
HG00130	GBR	European	0.006394	15.0	0.0	0.0	0.0	3
HG00131	GBR	European	0.009475	14.0	0.0	0.0	0.0	4
HG00132	GBR	European	0.013265	13.0	0.0	0.0	0.0	4
HG00133	GBR	European	0.008064	13.0	0.0	2.0	0.0	3
HG00136	GBR	European	0.010546	16.0	1.0	0.0	1.0	4
HG00137	GBR	European	0.008772	15.0	0.0	2.0	0.0	4
HG00138	GBR	European	0.006437	26.0	0.0	1.0	0.0	3
HG00139	GBR	European	0.008993	15.0	0.0	0.0	0.0	4
HG00140	GBR	European	0.007313	13.0	0.0	1.0	0.0	3
HG00141	GBR	European	0.007006	21.0	0.0	3.0	0.0	3
HG00142	GBR	European	0.006456	17.0	1.0	1.0	0.5	3
HG00143	GBR	European	0.00987	24.0	0.0	1.0	0.0	4
HG00145	GBR	European	0.007464	15.0	1.0	2.0	0.3333	3
HG00146	GBR	European	0.006551	16.0	0.0	0.0	0.0	3
HG00148	GBR	European	0.008552	13.0	0.0	1.0	0.0	3
HG00149	GBR	European	0.007369	29.0	1.0	0.0	1.0	3
HG00150	GBR	European	0.011484	9.0	1.0	1.0	0.5	4
HG00151	GBR	European	0.007406	11.0	0.0	1.0	0.0	3
HG00154	GBR	European	0.011078	13.0	0.0	0.0	0.0	4
HG00155	GBR	European	0.005663	20.0	1.0	0.0	1.0	3
HG00157	GBR	European	0.008972	22.0	0.0	1.0	0.0	4
HG00158	GBR	European	0.00481	9.0	0.0	0.0	0.0	2
HG00159	GBR	European	0.004439	12.0	2.0	0.0	2.0	2
HG00160	GBR	European	0.007088	16.0	0.0	0.0	0.0	3
HG00171	FIN	European	0.015261	10.0	0.0	0.0	0.0	4
HG00173	FIN	European	0.007569	25.0	0.0	1.0	0.0	3
HG00174	FIN	European	0.00795	24.0	0.0	0.0	0.0	3
HG00176	FIN	European	0.0117	31.0	0.0	2.0	0.0	4
HG00177	FIN	European	0.015847	17.0	0.0	2.0	0.0	4
HG00178	FIN	European	0.009024	12.0	0.0	2.0	0.0	4
HG00179	FIN	European	0.007272	22.0	0.0	1.0	0.0	3
HG00180	FIN	European	0.014919	16.0	1.0	0.0	1.0	4
HG00181	FIN	European	0.0054	10.0	0.0	0.0	0.0	3
HG00182	FIN	European	0.010199	23.0	0.0	1.0	0.0	4
HG00183	FIN	European	0.015789	21.0	0.0	0.0	0.0	4
HG00185	FIN	European	0.013639	20.0	0.0	1.0	0.0	4
HG00186	FIN	European	0.019928	19.0	0.0	0.0	0.0	4
HG00187	FIN	European	0.016534	21.0	1.0	0.0	1.0	4
HG00188	FIN	European	0.007277	20.0	0.0	1.0	0.0	3
HG00189	FIN	European	0.009919	18.0	0.0	0.0	0.0	4
HG00190	FIN	European	0.010091	12.0	0.0	0.0	0.0	4
HG00231	GBR	European	0.010403	9.0	0.0	1.0	0.0	4
HG00232	GBR	European	0.010203	11.0	0.0	0.0	0.0	4
HG00233	GBR	European	0.010003	17.0	1.0	1.0	0.5	4
HG00234	GBR	European	0.009147	10.0	0.0	0.0	0.0	4
HG00235	GBR	European	0.006602	19.0	0.0	0.0	0.0	3
HG00236	GBR	European	0.029006	11.0	0.0	0.0	0.0	4
HG00237	GBR	European	0.007612	13.0	1.0	0.0	1.0	3
HG00238	GBR	European	0.010175	20.0	0.0	0.0	0.0	4
HG00239	GBR	European	0.006524	6.0	0.0	0.0	0.0	3
HG00240	GBR	European	0.00216	11.0	0.0	0.0	0.0	1
HG00242	GBR	European	0.00343	22.0	0.0	2.0	0.0	2
HG00243	GBR	European	0.004532	14.0	0.0	1.0	0.0	2
HG00244	GBR	European	0.00347	18.0	0.0	0.0	0.0	2
HG00245	GBR	European	0.004613	17.0	0.0	1.0	0.0	2
HG00246	GBR	European	0.004132	9.0	0.0	1.0	0.0	2
HG00250	GBR	European	0.002821	14.0	1.0	0.0	1.0	2
HG00251	GBR	European	0.002831	11.0	0.0	0.0	0.0	2
HG00252	GBR	European	0.005666	17.0	0.0	0.0	0.0	3
HG00253	GBR	European	0.005746	14.0	0.0	0.0	0.0	3
HG00254	GBR	European	0.002205	16.0	0.0	0.0	0.0	1
