sampleId	population	group	z_distance	z_pc1	z_pc2	froh_genome	het_rate_chr22	rare_missense_chr22	stat_pc1	stat_pc2
HG01816	CDX	East_Asian	9.5041	-6.1877	7.2139	0.125041	0.029344	23.0	-5.5701	9.3439
HG02701	UNKNOWN		8.5506	-2.7991	8.0795	0.125012	0.035742	20.0	-4.4826	8.5661
NA20585	TSI	European	8.0354	-5.3692	5.9783	0.055069	0.030604	12.0	-3.4989	3.2597
HG02659	UNKNOWN		7.7228	-3.8695	6.6834	0.098291	0.018404	18.0	-6.2531	7.0584
HG02692	UNKNOWN		7.2591	-2.543	6.7991	0.094792	0.037112	15.0	-4.0591	7.1833
HG03862	ITU	South_Asian	7.004	-4.2562	5.5624	0.118736	0.035004	28.0	-4.2255	8.7659
NA20314	ASW	African	6.5902	-5.2461	3.9886	0.027359	0.033202	5.0	-3.6095	2.7037
HG03615	BEB	South_Asian	6.564	-4.9698	4.288	0.042083	0.024762	17.0	-3.5104	2.7315
HG02683	UNKNOWN		6.471	-2.4115	6.0048	0.105506	0.035803	13.0	-3.8416	6.3255
HG00117	GBR	European	6.3663	-4.748	4.241	0.03989	0.024877	17.0	-3.889	3.0931
NA18606	CHB	East_Asian	6.1652	-4.1118	4.5938	0.046501	0.030764	14.0	-2.8826	2.5076
HG03837	STU	South_Asian	6.0449	-4.4759	4.063	0.137722	0.021299	20.0	-7.1893	10.3361
NA18992	JPT	East_Asian	5.8433	-2.9967	5.0164	0.063115	0.033421	24.0	-3.0301	4.8592
NA18987	JPT	East_Asian	5.8214	-3.8674	4.351	0.058416	0.031726	15.0	-3.5625	4.1655
HG02684	PJL	South_Asian	5.6654	-3.8696	4.138	0.141423	0.035669	17.0	-6.3609	11.8814
NA20886	GIH	South_Asian	5.4604	-3.2084	4.4185	0.035832	0.037637	19.0	-2.5409	3.8461
HG03696	STU	South_Asian	5.4404	-3.5831	4.0938	0.140643	0.03244	16.0	-5.9681	10.408
HG02678	GWD	African	5.4312	-4.6078	2.8752	0.047476	0.035005	29.0	-0.8302	3.9225
NA19733	UNKNOWN		5.2831	-2.8058	4.4764	0.038398	0.028685	15.0	-4.4937	4.6748
NA19732	MXL	American	5.2727	-3.8748	3.5759	0.056982	0.02936	11.0	-5.4894	6.2317
NA18984	JPT	East_Asian	5.1813	-3.8615	3.4547	0.050055	0.027484	15.0	-3.5589	3.2309
HG01275	CLM	American	5.1451	-2.9264	4.2318	0.070016	0.033808	24.0	-3.2717	5.373
HG01148	CLM	American	5.1222	-2.6265	4.3976	0.079558	0.032444	30.0	-3.0048	5.5836
HG00525	CHS	East_Asian	5.0018	-3.7584	3.3004	0.027674	0.022617	26.0	-2.5737	1.4712
HG02658	PJL	South_Asian	4.9636	-3.1873	3.8051	0.146412	0.033936	28.0	-5.3873	10.9832
HG02805	GWD	African	4.865	-2.8162	3.967	0.054844	0.043572	35.0	0.447	5.0964
HG02734	PJL	South_Asian	4.8143	-3.2929	3.5119	0.136443	0.03798	13.0	-5.5381	10.1919
HG01928	UNKNOWN		4.7589	-3.0477	3.6549	0.033332	0.026923	6.0	-4.8939	3.7876
HG01108	PUR	American	4.5609	4.4605	0.9517	0.000796	0.048081	41.0	3.3571	0.4287
HG02810	GWD	African	4.5003	-2.5744	3.6913	0.055425	0.04667	33.0	0.6194	4.7999
HG02759	GWD	African	4.4788	-2.3805	3.7938	0.055848	0.046806	36.0	0.7576	4.9101
HG01955	UNKNOWN		4.3282	-2.5385	3.5056	0.030605	0.029957	12.0	-4.0517	3.6263
HG01279	UNKNOWN		4.3151	-2.2771	3.6654	0.056955	0.029697	11.0	-3.6193	3.7989
HG02667	GWD	African	4.2405	-1.6217	3.9181	0.056432	0.045588	47.0	1.2985	5.0438
HG00324	FIN	European	4.1913	-1.6486	3.8535	0.036137	0.036606	27.0	-2.0422	3.8461
NA19679	MXL	American	4.1568	-2.3054	3.4588	0.074476	0.037334	15.0	-3.8352	6.0364
HG03163	ESN	African	4.1512	-2.9839	2.886	0.02857	0.041924	26.0	0.4401	2.2305
HG01970	PEL	American	4.1042	-2.5664	3.2029	0.091831	0.032645	9.0	-5.1956	6.7407
NA11920	CEU	European	4.0407	3.2688	2.3753	0.005879	0.037369	44.0	0.788	0.484
HG02339	ACB	African	3.9987	-1.0479	3.859	0.026079	0.046581	29.0	1.6461	2.0798
NA19428	LWK	African	3.9137	3.3099	2.0884	0.004779	0.045064	71.0	4.5841	1.936
HG03875	ITU	South_Asian	3.9119	-2.8291	2.7018	0.057157	0.038113	11.0	-3.0572	4.4111
HG02977	ESN	African	3.8727	-3.6811	-1.203	0.008197	0.03013	26.0	0.006	-0.0037
HG04056	ITU	South_Asian	3.8479	-2.6257	2.8128	0.059126	0.036835	15.0	-2.8907	4.5801
NA21095	GIH	South_Asian	3.754	-2.4199	2.87	0.032844	0.033652	21.0	-2.065	2.5129
HG01952	UNKNOWN		3.7525	-2.5297	2.7717	0.029399	0.029052	7.0	-4.037	2.8337
NA07347	CEU	European	3.7332	-2.2227	2.9994	0.013803	0.035087	16.0	-1.5664	0.8558
HG01348	CLM	American	3.7119	-2.1347	3.0366	0.04332	0.034968	24.0	-2.567	3.8545
HG02694	PJL	South_Asian	3.6485	-3.0895	1.9408	0.082613	0.022642	16.0	-5.2478	5.9518
HG01922	UNKNOWN		3.6384	-2.8627	2.2457	0.027672	0.022092	7.0	-4.5879	2.2656
HG02154	CDX	East_Asian	3.5658	-3.0211	1.8942	0.03951	0.02311	20.0	-3.394	2.404
HG02763	GWD	African	3.562	-0.3588	3.5438	0.047005	0.047238	59.0	2.1988	4.6414
HG03557	MSL	African	3.545	2.5519	2.4606	0.005912	0.046855	63.0	4.0792	1.5621
HG03867	ITU	South_Asian	3.491	-2.4886	2.4483	0.053298	0.039567	9.0	-2.7785	4.0252
HG03690	STU	South_Asian	3.4838	-2.4651	2.4617	0.093769	0.030486	18.0	-4.4389	6.6044
HG01890	ACB	African	3.4799	2.9277	1.8809	0.002736	0.045124	56.0	3.9068	1.236
HG01951	PEL	American	3.4583	-2.5907	2.2909	0.040324	0.028163	8.0	-5.2257	4.888
HG03967	ITU	South_Asian	3.3642	-2.5327	2.2142	0.05134	0.036902	11.0	-2.8146	3.6689
NA19730	UNKNOWN		3.3206	-1.7543	2.8194	0.026863	0.034626	14.0	-2.7545	2.8852
HG03169	ESN	African	3.3205	-1.8732	2.7417	0.020919	0.042018	34.0	1.1317	2.1517
HG02690	PJL	South_Asian	3.2929	-2.0091	2.6089	0.09007	0.033962	32.0	-3.7061	7.755
HG03910	BEB	South_Asian	3.2916	-2.169	2.4759	0.035499	0.035027	14.0	-1.7091	1.4287
HG04152	BEB	South_Asian	3.2796	-3.2783	0.093	0.018431	0.020576	18.0	-2.4225	-0.2845
NA10851	CEU	European	3.275	-2.5758	2.0226	0.012396	0.034873	11.0	-1.7178	0.2739
HG02502	ACB	African	3.2676	-2.5675	-2.0212	0.003349	0.044405	16.0	0.782	-0.4286
HG02604	PJL	South_Asian	3.2531	-2.0848	2.4972	0.108267	0.029242	33.0	-3.8142	7.4535
HG03858	STU	South_Asian	3.2516	-2.0683	2.509	0.082703	0.033969	22.0	-3.8961	6.7145
HG01920	PEL	American	3.2259	-2.4042	2.1509	0.039558	0.025512	13.0	-4.9945	4.6035
NA20274	ASW	African	3.2145	-2.1396	-2.399	0.001723	0.037886	15.0	-0.3266	-1.1902
HG00110	GBR	European	3.2107	-0.466	3.1767	0.035049	0.036101	25.0	-1.4942	2.2465
HG01925	UNKNOWN		3.2082	-1.4435	2.8651	0.026061	0.035828	18.0	-2.2404	2.9346
HG03740	STU	South_Asian	3.2048	-2.1923	2.3377	0.07973	0.034432	16.0	-4.0657	6.3154
NA18630	CHB	East_Asian	3.1916	3.1827	-0.2381	0.001661	0.034536	32.0	0.2617	-0.8003
HG02111	ACB	African	3.1898	1.7978	2.6348	0.005887	0.046637	48.0	3.2643	1.5576
NA19916	ASW	African	3.1765	2.153	2.3356	0.003995	0.047372	58.0	4.2097	1.696
HG03054	MSL	African	3.1393	-0.5825	3.0848	0.010048	0.045593	41.0	2.532	1.7744
