sampleId	population	group	froh_genome	constrained_burden	divergent_burden	rare_missense_genome	rare_total_genome	cd_ratio	froh_quartile
HG00096	GBR	European	0.009785	22	34	440	74926	0.6286	4
HG00097	GBR	European	0.008802	25	25	503	76297	0.9615	4
HG00099	GBR	European	0.008607	24	22	473	75266	1.0435	4
HG00100	GBR	European	0.00991	23	20	459	75524	1.0952	4
HG00101	GBR	European	0.012979	31	30	449	77059	1.0	4
HG00102	GBR	European	0.015004	22	36	468	73880	0.5946	4
HG00103	GBR	European	0.011402	29	26	465	74128	1.0741	4
HG00105	GBR	European	0.009314	26	20	481	76967	1.2381	4
HG00106	GBR	European	0.006114	23	26	477	73293	0.8519	3
HG00107	GBR	European	0.012964	18	40	469	74873	0.439	4
HG00108	GBR	European	0.012575	21	34	416	75181	0.6	4
HG00109	GBR	European	0.009354	23	40	455	75435	0.561	4
HG00110	GBR	European	0.035049	23	37	512	75464	0.6053	4
HG00111	GBR	European	0.019919	30	27	503	75838	1.0714	4
HG00112	GBR	European	0.018912	24	31	481	76452	0.75	4
HG00113	GBR	European	0.009449	20	31	435	74960	0.625	4
HG00114	GBR	European	0.018285	30	28	444	74475	1.0345	4
HG00115	GBR	European	0.005799	25	24	487	76518	1.0	3
HG00116	GBR	European	0.009167	18	22	457	76302	0.7826	4
HG00117	GBR	European	0.03989	20	29	472	72949	0.6667	4
HG00118	GBR	European	0.008403	27	24	449	74659	1.08	3
HG00119	GBR	European	0.0097	38	32	476	77391	1.1515	4
HG00120	GBR	European	0.012028	22	40	508	77082	0.5366	4
HG00121	GBR	European	0.016841	28	20	440	74496	1.3333	4
HG00122	GBR	European	0.003541	37	29	440	73832	1.2333	2
HG00123	GBR	European	0.009249	30	37	493	76177	0.7895	4
HG00125	GBR	European	0.010663	26	31	488	76118	0.8125	4
HG00126	GBR	European	0.006314	20	26	444	73667	0.7407	3
HG00127	GBR	European	0.015517	16	34	471	73908	0.4571	4
HG00128	GBR	European	0.009295	25	32	473	75143	0.7576	4
HG00129	GBR	European	0.010185	28	28	476	73962	0.9655	4
HG00130	GBR	European	0.006394	20	34	483	75439	0.5714	3
HG00131	GBR	European	0.009475	28	31	512	75072	0.875	4
HG00132	GBR	European	0.013265	23	30	465	74790	0.7419	4
HG00133	GBR	European	0.008064	22	35	453	73601	0.6111	3
HG00136	GBR	European	0.010546	29	33	454	73717	0.8529	4
HG00137	GBR	European	0.008772	25	40	472	75073	0.6098	4
HG00138	GBR	European	0.006437	24	31	481	74863	0.75	3
HG00139	GBR	European	0.008993	14	27	467	75343	0.5	4
HG00140	GBR	European	0.007313	21	24	461	74674	0.84	3
HG00141	GBR	European	0.007006	27	36	500	72629	0.7297	3
HG00142	GBR	European	0.006456	30	19	457	75091	1.5	3
HG00143	GBR	European	0.00987	22	28	443	74049	0.7586	4
HG00145	GBR	European	0.007464	38	39	502	74028	0.95	3
HG00146	GBR	European	0.006551	29	30	453	73659	0.9355	3
HG00148	GBR	European	0.008552	18	34	470	76168	0.5143	3
HG00149	GBR	European	0.007369	18	24	447	75124	0.72	3
HG00150	GBR	European	0.011484	39	36	518	74352	1.0541	4
HG00151	GBR	European	0.007406	32	44	505	76200	0.7111	3
HG00154	GBR	European	0.011078	31	24	501	74629	1.24	4
HG00155	GBR	European	0.005663	41	24	450	74525	1.64	3
HG00157	GBR	European	0.008972	37	27	487	73600	1.3214	4
HG00158	GBR	European	0.00481	25	25	459	74426	0.9615	2
HG00159	GBR	European	0.004439	31	27	454	74293	1.1071	2
HG00160	GBR	European	0.007088	43	27	496	75016	1.5357	3
HG00171	FIN	European	0.015261	32	36	525	79395	0.8649	4
HG00173	FIN	European	0.007569	25	36	530	79992	0.6757	3
HG00174	FIN	European	0.00795	36	29	516	78916	1.2	3
HG00176	FIN	European	0.0117	30	31	521	80755	0.9375	4
HG00177	FIN	European	0.015847	33	32	528	80260	1.0	4
HG00178	FIN	European	0.009024	34	32	494	78949	1.0303	4
HG00179	FIN	European	0.007272	30	29	511	80847	1.0	3
HG00180	FIN	European	0.014919	27	43	525	79267	0.6136	4
HG00181	FIN	European	0.0054	27	23	520	78571	1.125	3
HG00182	FIN	European	0.010199	43	24	538	78849	1.72	4
HG00183	FIN	European	0.015789	29	18	526	80676	1.5263	4
HG00185	FIN	European	0.013639	37	31	565	80555	1.1562	4
HG00186	FIN	European	0.019928	29	45	585	81685	0.6304	4
HG00187	FIN	European	0.016534	37	35	508	81998	1.0278	4
HG00188	FIN	European	0.007277	34	23	562	80479	1.4167	3
HG00189	FIN	European	0.009919	27	37	510	79514	0.7105	4
HG00190	FIN	European	0.010091	23	34	485	79207	0.6571	4
HG00231	GBR	European	0.010403	24	41	466	73584	0.5714	4
HG00232	GBR	European	0.010203	31	19	481	75162	1.55	4
HG00233	GBR	European	0.010003	33	30	488	75406	1.0645	4
HG00234	GBR	European	0.009147	20	16	488	73960	1.1765	4
HG00235	GBR	European	0.006602	23	32	497	75736	0.697	3
HG00236	GBR	European	0.029006	23	26	491	75312	0.8519	4
HG00237	GBR	European	0.007612	36	22	463	74644	1.5652	3
HG00238	GBR	European	0.010175	40	27	483	75678	1.4286	4
HG00239	GBR	European	0.006524	24	23	485	75011	1.0	3
HG00240	GBR	European	0.00216	21	28	510	75647	0.7241	1
HG00242	GBR	European	0.00343	35	29	488	74554	1.1667	2
HG00243	GBR	European	0.004532	28	35	463	75047	0.7778	2
HG00244	GBR	European	0.00347	25	29	490	76203	0.8333	2
HG00245	GBR	European	0.004613	24	33	511	73859	0.7059	2
HG00246	GBR	European	0.004132	23	35	483	75555	0.6389	2
HG00250	GBR	European	0.002821	31	26	485	77733	1.1481	2
HG00251	GBR	European	0.002831	23	35	430	74953	0.6389	2
HG00252	GBR	European	0.005666	24	27	454	74183	0.8571	3
HG00253	GBR	European	0.005746	27	43	498	73808	0.6136	3
HG00254	GBR	European	0.002205	25	29	465	74471	0.8333	1
HG00255	GBR	European	0.004785	18	31	487	74917	0.5625	2
HG00256	GBR	European	0.001144	15	28	492	72911	0.5172	1
HG00257	GBR	European	0.002681	20	28	446	72872	0.6897	2
HG00258	GBR	European	0.002927	15	31	475	74829	0.4688	2
HG00259	GBR	European	0.000879	23	28	461	74333	0.7931	1
HG00260	GBR	European	0.003397	25	25	468	72959	0.9615	2
HG00261	GBR	European	0.003	22	26	461	73000	0.8148	2
HG00262	GBR	European	0.002185	27	29	440	72883	0.9	1
HG00263	GBR	European	0.000797	22	38	445	74397	0.5641	1
HG00264	GBR	European	0.002825	14	31	449	74924	0.4375	2
HG00265	GBR	European	0.002056	29	26	498	74094	1.0741	1
HG00266	FIN	European	0.01324	31	24	526	80725	1.24	4
HG00267	FIN	European	0.011995	39	25	509	81819	1.5	4
HG00268	FIN	European	0.008534	26	30	482	78245	0.8387	3
HG00269	FIN	European	0.01504	28	28	483	82172	0.9655	4
HG00271	FIN	European	0.022508	35	39	557	82129	0.875	4
HG00272	FIN	European	0.02003	31	35	516	79895	0.8611	4
HG00273	FIN	European	0.011519	15	30	508	79406	0.4839	4
HG00274	FIN	European	0.01206	27	39	528	79538	0.675	4
HG00275	FIN	European	0.012715	26	34	507	78246	0.7429	4
HG00276	FIN	European	0.017556	22	33	532	79084	0.6471	4
HG00277	FIN	European	0.012011	26	33	521	76733	0.7647	4
HG00278	FIN	European	0.012232	52	40	539	80457	1.2683	4
HG00280	FIN	European	0.013209	23	26	530	79902	0.8519	4
HG00281	FIN	European	0.008213	25	35	471	79857	0.6944	3
HG00282	FIN	European	0.008287	27	36	494	83291	0.7297	3
HG00284	FIN	European	0.010965	43	31	488	78308	1.3438	4
HG00285	FIN	European	0.023568	31	34	527	80723	0.8857	4
HG00288	FIN	European	0.012057	24	29	508	80500	0.8	4
HG00290	FIN	European	0.017734	31	33	523	80400	0.9118	4
HG00304	FIN	European	0.014929	50	44	591	81273	1.1111	4
HG00306	FIN	European	0.00874	26	27	498	77549	0.9286	4
HG00308	FIN	European	0.014857	23	37	525	79815	0.6053	4
HG00309	FIN	European	0.016385	12	35	515	80857	0.3333	4
HG00310	FIN	European	0.012911	27	27	565	79722	0.9643	4
HG00311	FIN	European	0.011648	17	22	485	78338	0.7391	4
HG00313	FIN	European	0.013632	26	36	520	81543	0.7027	4
HG00315	FIN	European	0.007638	20	38	499	79303	0.5128	3
HG00318	FIN	European	0.007048	42	26	502	78571	1.5556	3
HG00319	FIN	European	0.012563	24	36	539	81512	0.6486	4
HG00320	FIN	European	0.015236	25	36	556	80804	0.6757	4
HG00321	FIN	European	0.017787	38	41	510	78834	0.9048	4
HG00323	FIN	European	0.022074	29	25	504	81032	1.1154	4
