pathway_id	pathway_name	n_variants	mean_fst	fst_YRI_vs_CEU	fst_YRI_vs_CHB	fst_CEU_vs_CHB	fst_YRI_vs_JPT	fst_CEU_vs_JPT
R-HSA-8849472	PTK6 Down-Regulation	129	0.53849	0.387686	0.595147	0.51443	0.622758	0.572429
R-HSA-5619036	Defective SLC24A5 causes oculocutaneous albinism 6 (OCA6)	27	0.452106	0.843234	0.051672	0.793472	0.120046	
R-HSA-169131	Inhibition of PKR	21	0.445394	0.176678	0.515347		0.644157	
R-HSA-9955693	NAGS variants cause NAGS deficiency	22	0.415727	0.079273	0.605498	0.465907	0.528622	0.399336
R-HSA-5662853	Essential pentosuria	16	0.411035	0.395032	0.428594		0.409479	
R-HSA-2160456	Phenylketonuria	35	0.382238	0.122896	0.5521	0.342579	0.550908	0.342708
R-HSA-77310	Beta oxidation of lauroyl-CoA to decanoyl-CoA-CoA	122	0.380458	0.244234	0.484115	0.388607	0.449326	0.336007
R-HSA-77348	Beta oxidation of octanoyl-CoA to hexanoyl-CoA	116	0.378201	0.210978	0.472906	0.406378	0.440611	0.360134
R-HSA-77285	Beta oxidation of myristoyl-CoA to lauroyl-CoA	83	0.375808	0.101237	0.475323	0.466963	0.425344	0.410174
R-HSA-3282872	Severe congenital neutropenia type 4 (G6PC3)	27	0.373699	0.28422	0.391195	0.418312	0.375249	0.399521
R-HSA-4793954	Defective MOGS causes CDG-2b	38	0.372813	0.605062	0.033498	0.605039	0.040275	0.580191
R-HSA-9033807	ABO blood group biosynthesis	80	0.359805	0.028631	0.42744	0.452506	0.432811	0.457636
R-HSA-5656364	Defective SLC5A1 causes congenital glucose/galactose malabsorption (GGM)	40	0.35601	0.273239	0.641458	0.087957	0.678884	0.098511
R-HSA-168330	Viral RNP Complexes in the Host Cell Nucleus	20	0.34976	0.377792	0.319086		0.352401	
R-HSA-5655799	Defective SLC40A1 causes hemochromatosis 4 (HFE4) (duodenum)	17	0.349189	0.226326	0.379905		0.441335	
R-HSA-177162	Conjugation of phenylacetate with glutamine	126	0.344486	0.245412	0.304686	0.375407	0.363137	0.433787
R-HSA-9916720	Mitochondrial short-chain enoyl-CoA hydratase deficiency 1	22	0.334777	0.415711	0.565626	0.112287	0.525284	0.054978
R-HSA-211736	Stimulation of the cell death response by PAK-2p34	43	0.334021	0.157004	0.456288	0.341613	0.41888	0.296322
R-HSA-77346	Beta oxidation of decanoyl-CoA to octanoyl-CoA-CoA	149	0.331953	0.187027	0.398018	0.361862	0.374399	0.338459
R-HSA-5662702	Melanin biosynthesis	269	0.328636	0.292245	0.257441	0.412774	0.265393	0.415325
R-HSA-211957	Aromatic amines can be N-hydroxylated or N-dealkylated by CYP1A2	38	0.324492	0.612708	0.082301	0.454109	0.166922	0.306421
R-HSA-9636667	Manipulation of host energy metabolism	28	0.323042	0.120536	0.454035		0.425259	0.292337
