pop	group	froh	n_hard_sweeps	mean_h12	max_h12	mean_pi	mean_theta_w	mean_tajima_d	mean_fis	mean_fst
ACB	African	0.015443	389	0.648268	1.000000	0.051245	0.064372	-0.653484	-0.004616	0.087213
ASW	African	0.016089	395	0.651736	1.000000	0.050735	0.062839	-0.637876	-0.006350	0.075659
BEB	South_Asian	0.027541	519	0.668103	1.000000	0.039513	0.041845	-0.177781	-0.003184	0.057974
CDX	East_Asian	0.027574	486	0.680548	1.000000	0.035741	0.033397	0.227945	-0.001069	0.088952
CEU	European	0.016851	561	0.666254	1.000000	0.038024	0.036920	0.092811	-0.006498	0.070758
CHB	East_Asian	0.017150	506	0.661982	1.000000	0.035776	0.034076	0.160790	-0.004007	0.087083
CHS	East_Asian	0.017140	547	0.678370	1.000000	0.035752	0.034342	0.128078	-0.007160	0.090911
CLM	American	0.033839	505	0.676186	1.000000	0.040594	0.047539	-0.464329	0.001437	0.055102
ESN	African	0.024546	388	0.656834	1.000000	0.050941	0.058028	-0.385221	-0.004697	0.105335
FIN	European	0.023419	505	0.663028	1.000000	0.037912	0.034619	0.307527	-0.004771	0.069068
GBR	European	0.022278	504	0.660035	1.000000	0.038017	0.036208	0.162070	-0.003186	0.068831
GIH	South_Asian	0.023493	476	0.667354	1.000000	0.039330	0.039230	0.007745	0.001093	0.060343
GWD	African	0.032130	402	0.655916	1.000000	0.050862	0.059736	-0.463312	-0.000552	0.101546
IBS	European	0.020519	541	0.672499	1.000000	0.038525	0.040170	-0.129167	-0.004381	0.069038
ITU	South_Asian	0.038448	479	0.665528	1.000000	0.039381	0.040090	-0.057689	0.011304	0.060654
JPT	East_Asian	0.021898	509	0.667458	1.000000	0.035676	0.031829	0.390064	-0.004085	0.089351
KHV	East_Asian	0.018909	538	0.666051	1.000000	0.036018	0.034978	0.094369	-0.005311	0.087370
LWK	African	0.019127	354	0.643389	1.000000	0.051273	0.062570	-0.584969	-0.003543	0.099641
MSL	African	0.016555	361	0.652951	1.000000	0.051746	0.061313	-0.505704	-0.004718	0.106986
MXL	American	0.025521	530	0.681061	1.000000	0.038877	0.040867	-0.157774	-0.000385	0.063487
PEL	American	0.031367	562	0.687069	1.000000	0.035540	0.038481	-0.244275	-0.000165	0.095957
PJL	South_Asian	0.057143	528	0.666630	1.000000	0.039575	0.040686	-0.086735	0.014515	0.058403
PUR	American	0.028038	494	0.662921	1.000000	0.041957	0.051620	-0.592769	-0.001088	0.052735
STU	South_Asian	0.049401	495	0.660147	1.000000	0.039418	0.040165	-0.060197	0.013226	0.060735
TSI	European	0.018062	505	0.660952	1.000000	0.038374	0.038460	-0.007696	-0.003103	0.067959
YRI	African	0.017139	385	0.660818	1.000000	0.050964	0.059038	-0.426566	-0.005386	0.103225
