pop	group	pc1	pc2	lat	lon	mean_pi	mean_fst	froh
LWK	African	-3.5888	0.3624	0.27	36.22	0.051273	0.099641	0.019127
ESN	African	-2.3418	0.2255	6.0	8.0	0.050941	0.105335	0.024546
GIH	South_Asian	0.5598	-0.0293	22.3	70.73	0.039330	0.060343	0.023493
YRI	African	-2.4414	-0.3421	7.38	3.9	0.050964	0.103225	0.017139
PJL	South_Asian	2.0231	3.7574	31.55	74.34	0.039575	0.058403	0.057143
STU	South_Asian	1.3051	3.1975	7.0	80.0	0.039418	0.060735	0.049401
ITU	South_Asian	1.1049	2.2278	13.08	80.27	0.039381	0.060654	0.038448
TSI	European	0.3045	-0.8930	43.78	11.25	0.038374	0.067959	0.018062
CEU	European	1.0083	-1.6216	45.3	5.8	0.038024	0.070758	0.016851
IBS	European	0.9288	-0.9657	40.42	-3.7	0.038525	0.069038	0.020519
BEB	South_Asian	0.6067	-0.2152	23.68	90.35	0.039513	0.057974	0.027541
MSL	African	-3.1452	-0.0988	8.5	-13.3	0.051746	0.106986	0.016555
GWD	African	-2.0539	1.2547	13.67	-14.8	0.050862	0.101546	0.032130
FIN	European	0.9319	-1.0134	61.0	25.7	0.037912	0.069068	0.023419
GBR	European	0.6134	-0.7553	51.51	-0.13	0.038017	0.068831	0.022278
CDX	East_Asian	1.8503	-0.4239	25.0	101.54	0.035741	0.088952	0.027574
KHV	East_Asian	1.0803	-1.3515	10.82	106.63	0.036018	0.087370	0.018909
CHB	East_Asian	0.7643	-1.2684	39.91	116.39	0.035776	0.087083	0.017150
CHS	East_Asian	1.6567	-1.8539	25.0	120.0	0.035752	0.090911	0.017140
JPT	East_Asian	1.4568	-1.2024	35.68	139.69	0.035676	0.089351	0.021898
ACB	African	-3.3070	-0.0696	13.17	-59.54	0.051245	0.087213	0.015443
PUR	American	-0.5209	0.5462	18.46	-66.1	0.041957	0.052735	0.028038
ASW	African	-3.0874	-0.3026	35.5	-83.8	0.050735	0.075659	0.016089
CLM	American	0.6635	0.9462	-4.0	-73.0	0.040594	0.055102	0.033839
PEL	American	2.2297	0.0799	-12.05	-77.03	0.035540	0.095957	0.031367
MXL	American	1.3984	-0.1912	23.0	-102.0	0.038877	0.063487	0.025521
