pop	group	lat	lon	dist_ooa_km	mean_pi	mean_theta_w	mean_tajima_d	mean_fis	froh	n_hard_sweeps	mean_h12	mean_fst	pc1	pc2
LWK	African	0.27	36.22	1013.2	0.051273	0.062570	-0.584969	-0.003543	0.019127	354	0.643389	0.099641	-3.5888	0.3624
ESN	African	6.0	8.0	3404.4	0.050941	0.058028	-0.385221	-0.004697	0.024546	388	0.656834	0.105335	-2.3418	0.2255
GIH	South_Asian	22.3	70.73	3717.5	0.039330	0.039230	0.007745	0.001093	0.023493	476	0.667354	0.060343	0.5598	-0.0293
YRI	African	7.38	3.9	3837.4	0.050964	0.059038	-0.426566	-0.005386	0.017139	385	0.660818	0.103225	-2.4414	-0.3421
PJL	South_Asian	31.55	74.34	4443.8	0.039575	0.040686	-0.086735	0.014515	0.057143	528	0.666630	0.058403	2.0231	3.7574
STU	South_Asian	7.0	80.0	4546.4	0.039418	0.040165	-0.060197	0.013226	0.049401	495	0.660147	0.060735	1.3051	3.1975
ITU	South_Asian	13.08	80.27	4549.7	0.039381	0.040090	-0.057689	0.011304	0.038448	479	0.665528	0.060654	1.1049	2.2278
TSI	European	43.78	11.25	4689.3	0.038374	0.038460	-0.007696	-0.003103	0.018062	505	0.660952	0.067959	0.3045	-0.8930
CEU	European	45.3	5.8	5115.8	0.038024	0.036920	0.092811	-0.006498	0.016851	561	0.666254	0.070758	1.0083	-1.6216
IBS	European	40.42	-3.7	5443.7	0.038525	0.040170	-0.129167	-0.004381	0.020519	541	0.672499	0.069038	0.9288	-0.9657
BEB	South_Asian	23.68	90.35	5708.6	0.039513	0.041845	-0.177781	-0.003184	0.027541	519	0.668103	0.057974	0.6067	-0.2152
MSL	African	8.5	-13.3	5714.3	0.051746	0.061313	-0.505704	-0.004718	0.016555	361	0.652951	0.106986	-3.1452	-0.0988
GWD	African	13.67	-14.8	5849.0	0.050862	0.059736	-0.463312	-0.000552	0.032130	402	0.655916	0.101546	-2.0539	1.2547
FIN	European	61.0	25.7	5878.1	0.037912	0.034619	0.307527	-0.004771	0.023419	505	0.663028	0.069068	0.9319	-1.0134
GBR	European	51.51	-0.13	5896.6	0.038017	0.036208	0.162070	-0.003186	0.022278	504	0.660035	0.068831	0.6134	-0.7553
CDX	East_Asian	25.0	101.54	6850.7	0.035741	0.033397	0.227945	-0.001069	0.027574	486	0.680548	0.088952	1.8503	-0.4239
KHV	East_Asian	10.82	106.63	7423.4	0.036018	0.034978	0.094369	-0.005311	0.018909	538	0.666051	0.087370	1.0803	-1.3515
CHB	East_Asian	39.91	116.39	8313.9	0.035776	0.034076	0.160790	-0.004007	0.017150	506	0.661982	0.087083	0.7643	-1.2684
CHS	East_Asian	25.0	120.0	8709.5	0.035752	0.034342	0.128078	-0.007160	0.017140	547	0.678370	0.090911	1.6567	-1.8539
JPT	East_Asian	35.68	139.69	10395.4	0.035676	0.031829	0.390064	-0.004085	0.021898	509	0.667458	0.089351	1.4568	-1.2024
ACB	African	13.17	-59.54	10663.2	0.051245	0.064372	-0.653484	-0.004616	0.015443	389	0.648268	0.087213	-3.3070	-0.0696
PUR	American	18.46	-66.1	11227.0	0.041957	0.051620	-0.592769	-0.001088	0.028038	494	0.662921	0.052735	-0.5209	0.5462
ASW	African	35.5	-83.8	12226.8	0.050735	0.062839	-0.637876	-0.006350	0.016089	395	0.651736	0.075659	-3.0874	-0.3026
CLM	American	-4.0	-73.0	12462.5	0.040594	0.047539	-0.464329	0.001437	0.033839	505	0.676186	0.055102	0.6635	0.9462
PEL	American	-12.05	-77.03	13000.4	0.035540	0.038481	-0.244275	-0.000165	0.031367	562	0.687069	0.095957	2.2297	0.0799
MXL	American	23.0	-102.0	14453.5	0.038877	0.040867	-0.157774	-0.000385	0.025521	530	0.681061	0.063487	1.3984	-0.1912
