pathway_id	pathway_name	tier	composite_score	mean_fst	n_convergent_genes	n_conv_groups	n_go_enriched_genes	evidence_lines
R-HSA-5576890	Phase 3 - rapid repolarisation	HIGH	0.8676	0.133377	1	5	1	FST,Convergent_Sweep,GO_Enrichment,Pan_continental
R-HSA-5576893	Phase 2 - plateau phase	HIGH	0.8357	0.120449	1	5	1	FST,Convergent_Sweep,GO_Enrichment,Pan_continental
R-HSA-391903	Eicosanoid ligand-binding receptors	LOW	0.9881	0.245306	0	0	0	FST
R-HSA-389397	Orexin and neuropeptides FF and QRFP bind to their respective receptors	LOW	0.9692	0.185147	0	0	0	FST
R-HSA-380095	Tachykinin receptors bind tachykinins	LOW	0.9688	0.199122	0	0	0	FST
R-HSA-419812	Calcitonin-like ligand receptors	LOW	0.9654	0.217558	0	0	0	FST
R-HSA-375281	Hormone ligand-binding receptors	LOW	0.9626	0.175386	0	0	0	FST
R-HSA-381070	IRE1alpha activates chaperones	LOW	0.9617	0.199646	0	0	0	FST
R-HSA-425397	Transport of vitamins, nucleosides, and related molecules	LOW	0.9608	0.242744	0	0	0	FST
R-HSA-426048	Arachidonate production from DAG	LOW	0.9561	0.21067	0	0	0	FST
R-HSA-425561	Sodium/Calcium exchangers	LOW	0.9546	0.207879	0	0	0	FST
R-HSA-391906	Leukotriene receptors	LOW	0.9503	0.170112	0	0	0	FST
R-HSA-418889	Caspase activation via Dependence Receptors in the absence of ligand	LOW	0.9493	0.194893	0	0	0	FST
R-HSA-379401	Dopamine clearance from the synaptic cleft	LOW	0.9472	0.173666	0	0	0	FST
R-HSA-426496	Post-transcriptional silencing by small RNAs	LOW	0.9464	0.191825	0	0	0	FST
R-HSA-380270	Recruitment of mitotic centrosome proteins and complexes	LOW	0.9456	0.171096	0	0	0	FST
R-HSA-389599	Alpha-oxidation of phytanate	LOW	0.9448	0.163412	0	0	0	FST
R-HSA-3000484	Scavenging by Class F Receptors	LOW	0.9436	0.231571	0	0	0	FST
R-HSA-2980766	Nuclear Envelope Breakdown	LOW	0.9415	0.234854	0	0	0	FST
R-HSA-4090294	SUMOylation of intracellular receptors	LOW	0.9366	0.197291	0	0	0	FST
R-HSA-427359	SIRT1 negatively regulates rRNA expression	LOW	0.9357	0.179479	0	0	0	FST
R-HSA-427389	ERCC6 (CSB) and EHMT2 (G9a) positively regulate rRNA expression	LOW	0.9356	0.179123	0	0	0	FST
R-HSA-3232118	SUMOylation of transcription factors	LOW	0.934	0.215729	0	0	0	FST
R-HSA-2995383	Initiation of Nuclear Envelope (NE) Reformation	LOW	0.9334	0.201177	0	0	0	FST
R-HSA-381038	XBP1(S) activates chaperone genes	LOW	0.9327	0.167546	0	0	0	FST
R-HSA-2466712	Biosynthesis of A2E, implicated in retinal degradation	LOW	0.9314	0.246926	0	0	0	FST
R-HSA-2980767	Activation of NIMA Kinases NEK9, NEK6, NEK7	LOW	0.9314	0.198507	0	0	0	FST
R-HSA-380108	Chemokine receptors bind chemokines	LOW	0.9306	0.160905	0	0	0	FST
R-HSA-380284	Loss of proteins required for interphase microtubule organization from the centrosome	LOW	0.93	0.160194	0	0	0	FST
R-HSA-380259	Loss of Nlp from mitotic centrosomes	LOW	0.9292	0.160194	0	0	0	FST
R-HSA-389357	CD28 dependent PI3K/Akt signaling	LOW	0.9286	0.155151	0	0	0	FST
R-HSA-380320	Recruitment of NuMA to mitotic centrosomes	LOW	0.9276	0.158428	0	0	0	FST
R-HSA-418886	Netrin mediated repulsion signals	LOW	0.9265	0.166812	0	0	0	FST
R-HSA-380972	Energy dependent regulation of mTOR by LKB1-AMPK	LOW	0.9248	0.163572	0	0	0	FST
R-HSA-391908	Prostanoid ligand receptors	LOW	0.9247	0.154472	0	0	0	FST
R-HSA-264870	Caspase-mediated cleavage of cytoskeletal proteins	LOW	0.9233	0.230929	0	0	0	FST
R-HSA-390471	Association of TriC/CCT with target proteins during biosynthesis	LOW	0.9228	0.155277	0	0	0	FST
R-HSA-381033	ATF6 (ATF6-alpha) activates chaperones	LOW	0.9215	0.160728	0	0	0	FST
R-HSA-390450	Folding of actin by CCT/TriC	LOW	0.9196	0.154164	0	0	0	FST
R-HSA-2559585	Oncogene Induced Senescence	LOW	0.9175	0.191775	0	0	0	FST
R-HSA-3656234	Defective HEXA causes GM2G1 (Hyaluronan metabolism)	LOW	0.9166	0.254965	0	0	0	FST
R-HSA-427413	NoRC negatively regulates rRNA expression	LOW	0.9154	0.161935	0	0	0	FST
R-HSA-3134963	DEx/H-box helicases activate type I IFN and inflammatory cytokines production 	LOW	0.9135	0.183809	0	0	0	FST
R-HSA-417957	P2Y receptors	LOW	0.9133	0.168567	0	0	0	FST
R-HSA-354194	GRB2:SOS provides linkage to MAPK signaling for Integrins 	LOW	0.9124	0.207203	0	0	0	FST
R-HSA-389359	CD28 dependent Vav1 pathway	LOW	0.9118	0.148276	0	0	0	FST
R-HSA-3282872	Severe congenital neutropenia type 4 (G6PC3)	LOW	0.9116	0.373699	0	0	0	FST
R-HSA-2559582	Senescence-Associated Secretory Phenotype (SASP)	LOW	0.9115	0.18427	0	0	0	FST
R-HSA-2691232	Constitutive Signaling by NOTCH1 HD Domain Mutants	LOW	0.9114	0.193443	0	0	0	FST
R-HSA-2660826	Constitutive Signaling by NOTCH1 t(7;9)(NOTCH1:M1580_K2555) Translocation Mutant	LOW	0.9113	0.198181	0	0	0	FST
R-HSA-389513	Co-inhibition by CTLA4	LOW	0.9103	0.14743	0	0	0	FST
R-HSA-418346	Platelet homeostasis	LOW	0.91	0.16427	0	0	0	FST
R-HSA-2559586	DNA Damage/Telomere Stress Induced Senescence	LOW	0.9098	0.181802	0	0	0	FST
R-HSA-419771	Opsins	LOW	0.9098	0.155892	0	0	0	FST
R-HSA-389356	Co-stimulation by CD28	LOW	0.9094	0.147571	0	0	0	FST
R-HSA-372708	p130Cas linkage to MAPK signaling for integrins	LOW	0.9086	0.211501	0	0	0	FST
R-HSA-389957	Prefoldin mediated transfer of substrate  to CCT/TriC	LOW	0.9085	0.148825	0	0	0	FST
R-HSA-418359	Reduction of cytosolic Ca++ levels	LOW	0.9068	0.156429	0	0	0	FST
R-HSA-3214841	PKMTs methylate histone lysines	LOW	0.906	0.173914	0	0	0	FST
R-HSA-3899300	SUMOylation of transcription cofactors	LOW	0.9054	0.144849	0	0	0	FST
R-HSA-2892245	POU5F1 (OCT4), SOX2, NANOG repress genes related to differentiation	LOW	0.903	0.177099	0	0	0	FST
R-HSA-400511	Synthesis, secretion, and inactivation of Glucose-dependent Insulinotropic Polypeptide (GIP)	LOW	0.9026	0.157808	0	0	0	FST
