pop	group	froh	froh_z	ihs_fraction	ihs_z	nsl_fraction	h12_fraction	h12_z	ihs_mean_abs	dominant_timescale
ACB	African	0.015442896236106346	-0.983	nan	None	nan	0.5549215406562055	0.931	nan	intermediate(H12)
ASW	African	0.016089283307983104	-0.919	nan	None	nan	0.5448275862068965	0.862	nan	intermediate(H12)
BEB	South_Asian	0.027540877390249706	0.215	0.04250281235989624	-0.695	0.042622774717568916	0.5715859030837004	1.047	0.7945836989206144	intermediate(H12)
CDX	East_Asian	0.02757411549402231	0.218	0.04193650906636482	-1.476	0.04179585385129795	0.21297107800175286	-1.43	0.794886058135266	very_recent(FROH)
CEU	European	0.01685097207949242	-0.843	0.042616973692386505	-0.537	0.042973217963490705	0.49427312775330395	0.513	0.7955567983247476	intermediate(H12)
CHB	East_Asian	0.017150069709922864	-0.814	0.042057115413690976	-1.309	0.04151644193865389	0.22690582959641256	-1.333	0.7961465247791197	very_recent(FROH)
CHS	East_Asian	0.017140360137954513	-0.815	nan	None	nan	0.41883614088820825	-0.008	nan	intermediate(H12)
CLM	American	0.033838984563751666	0.838	0.04413657081694748	1.558	0.04373609565524724	0.47821969696969696	0.402	0.7949601772330396	recent(iHS)
ESN	African	0.024546433238476786	-0.082	nan	None	nan	0.5139072847682119	0.648	nan	intermediate(H12)
FIN	European	0.02341873341431919	-0.193	0.04407367604606104	1.471	0.04439983504444789	0.2725310307609282	-1.018	0.7942590494254591	recent(iHS)
GBR	European	0.022277646911601248	-0.306	0.04313257375994141	0.173	0.04299228279810804	0.34332425068119893	-0.53	0.7961108288717935	recent(iHS)
GIH	South_Asian	0.023492841416417946	-0.186	0.043501382019913715	0.682	0.04381688203260508	0.4717542120911794	0.357	0.7914995652306357	recent(iHS)
GWD	African	0.03212961253024851	0.669	nan	None	nan	0.5432432432432432	0.851	nan	intermediate(H12)
IBS	European	0.020519373806302265	-0.48	0.042875813509049066	-0.181	0.04317765884735424	0.49724264705882354	0.533	0.7973877304311255	intermediate(H12)
ITU	South_Asian	0.03844753115834048	1.295	0.042733536068534354	-0.377	0.042631154479221	0.4814070351758794	0.424	0.7938729312341354	very_recent(FROH)
JPT	East_Asian	0.021898251735135734	-0.344	0.0424130386082059	-0.819	0.04238426674437648	0.21440606571187867	-1.42	0.7937010997427009	very_recent(FROH)
KHV	East_Asian	0.01890904432429707	-0.64	0.04204978331803179	-1.319	0.041926804707939164	0.3390044108380592	-0.559	0.796162818660162	intermediate(H12)
LWK	African	0.019127014490479235	-0.618	nan	None	nan	0.5167883211678832	0.668	nan	intermediate(H12)
MSL	African	0.016554999992846296	-0.873	nan	None	nan	0.5186781609195402	0.681	nan	intermediate(H12)
MXL	American	0.025520923837206277	0.015	0.044341611322239	1.84	0.04591621472383096	0.16825396825396827	-1.738	0.7964003950121938	recent(iHS)
PEL	American	0.03136674994957589	0.594	0.042712886791144204	-0.405	0.04501429012084501	0.031229162036008003	-2.684	0.8005628897523034	very_recent(FROH)
PJL	South_Asian	0.05714279944518446	3.145	0.043466885363189725	0.634	0.04418936205393499	0.5647058823529412	0.999	0.7931845858070339	very_recent(FROH)
PUR	American	0.028037660645434125	0.264	0.0439169978422639	1.255	0.04382203061187392	0.5221987315010571	0.706	0.7976359978949588	recent(iHS)
STU	South_Asian	0.049401464301288604	2.379	0.042884427080108915	-0.169	0.04294110967345705	0.5205047318611987	0.694	0.793883670971204	very_recent(FROH)
TSI	European	0.01806194232825786	-0.723	0.04276931427390968	-0.327	0.042088813466191324	0.3791291291291291	-0.282	0.7960835527417243	intermediate(H12)
YRI	African	0.01713854085439206	-0.815	nan	None	nan	0.5195681511470985	0.687	nan	intermediate(H12)
