pathway1_id	pathway1_name	pathway2_id	pathway2_name	rho	sign
R-HSA-8849472	PTK6 Down-Regulation	R-HSA-5619041	Defective SLC36A2 causes iminoglycinuria (IG) and hyperglycinuria (HG)	1.0	positive
R-HSA-8849472	PTK6 Down-Regulation	R-HSA-9717264	ASP-3026-resistant ALK mutants	1.0	positive
R-HSA-8849472	PTK6 Down-Regulation	R-HSA-9717301	NVP-TAE684-resistant ALK mutants	1.0	positive
R-HSA-8849472	PTK6 Down-Regulation	R-HSA-9717316	alectinib-resistant ALK mutants	1.0	positive
R-HSA-8849472	PTK6 Down-Regulation	R-HSA-9717319	brigatinib-resistant ALK mutants	1.0	positive
R-HSA-8849472	PTK6 Down-Regulation	R-HSA-9717323	ceritinib-resistant ALK mutants	1.0	positive
R-HSA-8849472	PTK6 Down-Regulation	R-HSA-9717326	crizotinib-resistant ALK mutants	1.0	positive
R-HSA-8849472	PTK6 Down-Regulation	R-HSA-9717329	lorlatinib-resistant ALK mutants	1.0	positive
R-HSA-8849472	PTK6 Down-Regulation	R-HSA-428359	Insulin-like Growth Factor-2 mRNA Binding Proteins (IGF2BPs/IMPs/VICKZs) bind RNA	1.0	positive
R-HSA-8849472	PTK6 Down-Regulation	R-HSA-1300645	Acrosome Reaction and Sperm:Oocyte Membrane Binding	1.0	positive
R-HSA-8849472	PTK6 Down-Regulation	R-HSA-3000484	Scavenging by Class F Receptors	1.0	positive
R-HSA-8849472	PTK6 Down-Regulation	R-HSA-1839128	FGFR4 mutant receptor activation	1.0	positive
R-HSA-8849472	PTK6 Down-Regulation	R-HSA-171306	Packaging Of Telomere Ends	1.0	positive
R-HSA-8849472	PTK6 Down-Regulation	R-HSA-372708	p130Cas linkage to MAPK signaling for integrins	1.0	positive
R-HSA-8849472	PTK6 Down-Regulation	R-HSA-75158	TRAIL  signaling	1.0	positive
R-HSA-8849472	PTK6 Down-Regulation	R-HSA-354194	GRB2:SOS provides linkage to MAPK signaling for Integrins 	1.0	positive
R-HSA-8849472	PTK6 Down-Regulation	R-HSA-4720454	Defective ALG9 causes CDG-1l	1.0	positive
R-HSA-8849472	PTK6 Down-Regulation	R-HSA-9821993	Replacement of protamines by nucleosomes in the male pronucleus	1.0	positive
R-HSA-8849472	PTK6 Down-Regulation	R-HSA-2206292	MPS VII - Sly syndrome (Hyaluronan metabolism)	1.0	positive
R-HSA-8849472	PTK6 Down-Regulation	R-HSA-9953080	MPS VII - Sly syndrome (CS/DS degradation)	1.0	positive
R-HSA-8849472	PTK6 Down-Regulation	R-HSA-3371378	Regulation by c-FLIP	1.0	positive
R-HSA-8849472	PTK6 Down-Regulation	R-HSA-5218900	CASP8 activity is inhibited	1.0	positive
R-HSA-8849472	PTK6 Down-Regulation	R-HSA-69416	Dimerization of procaspase-8	1.0	positive
R-HSA-8849472	PTK6 Down-Regulation	R-HSA-9821002	Chromatin modifications during the maternal to zygotic transition (MZT)	1.0	positive
R-HSA-8849472	PTK6 Down-Regulation	R-HSA-73728	RNA Polymerase I Promoter Opening	1.0	positive
R-HSA-8849472	PTK6 Down-Regulation	R-HSA-110328	Recognition and association of DNA glycosylase with site containing an affected pyrimidine	1.0	positive
R-HSA-8849472	PTK6 Down-Regulation	R-HSA-110329	Cleavage of the damaged pyrimidine 	1.0	positive
R-HSA-8849472	PTK6 Down-Regulation	R-HSA-5674135	MAP2K and MAPK activation	1.0	positive
R-HSA-8849472	PTK6 Down-Regulation	R-HSA-9793242	SUMOylation of nuclear envelope proteins	1.0	positive
R-HSA-8849472	PTK6 Down-Regulation	R-HSA-5676934	Protein repair	-1.0	negative
R-HSA-8849472	PTK6 Down-Regulation	R-HSA-75893	TNF signaling	1.0	positive
R-HSA-8849472	PTK6 Down-Regulation	R-HSA-452723	Transcriptional regulation of pluripotent stem cells	1.0	positive
