gene_id	symbol	population	n_private_rare	n_high_rare	n_low_rare	n_total_variants	rare_burden_pct	froh	froh_z
TTN	TTN	GWD	66	0	19	1907	3.46	0.0321	0.669
TTN	TTN	CHS	49	2	12	1907	2.57	0.0171	-0.815
TTN	TTN	PEL	47	1	17	1907	2.46	0.0314	0.594
TTN	TTN	IBS	42	1	9	1907	2.2	0.0205	-0.48
MUC16	MUC16	GWD	41	1	8	1197	3.43	0.0321	0.669
TTN	TTN	YRI	41	2	13	1907	2.15	0.0171	-0.815
TTN	TTN	LWK	40	0	11	1907	2.1	0.0191	-0.618
TTN	TTN	PUR	38	1	12	1907	1.99	0.028	0.264
TTN	TTN	CEU	36	0	12	1907	1.89	0.0169	-0.843
TTN	TTN	PJL	34	1	13	1907	1.78	0.0571	3.145
TTN	TTN	KHV	33	1	8	1907	1.73	0.0189	-0.64
OBSCN	OBSCN	GWD	32	1	10	906	3.53	0.0321	0.669
MUC16	MUC16	CHS	27	0	11	1197	2.26	0.0171	-0.815
TTN	TTN	CLM	27	1	10	1907	1.42	0.0338	0.838
TTN	TTN	ESN	27	0	9	1907	1.42	0.0245	-0.082
TTN	TTN	BEB	26	1	6	1907	1.36	0.0275	0.215
OBSCN	OBSCN	CHS	25	0	9	906	2.76	0.0171	-0.815
HMCN2	HMCN2	GWD	24	2	7	560	4.29	0.0321	0.669
LAMA5	LAMA5	GWD	24	0	7	493	4.87	0.0321	0.669
TTN	TTN	MXL	24	0	7	1907	1.26	0.0255	0.015
SPTBN5	SPTBN5	GWD	23	0	9	381	6.04	0.0321	0.669
MUC16	MUC16	BEB	22	0	3	1197	1.84	0.0275	0.215
MUC16	MUC16	PEL	22	1	5	1197	1.84	0.0314	0.594
MUC16	MUC16	PJL	22	0	10	1197	1.84	0.0571	3.145
OBSCN	OBSCN	MSL	22	0	9	906	2.43	0.0166	-0.873
PKD1	PKD1	CHS	22	0	10	606	3.63	0.0171	-0.815
SETBP1	SETBP1	GWD	22	0	19	483	4.55	0.0321	0.669
SYNE1	SYNE1	CHS	22	0	11	484	4.55	0.0171	-0.815
SYNE1	SYNE1	GWD	22	0	6	484	4.55	0.0321	0.669
AHNAK2	AHNAK2	LWK	20	1	11	1533	1.3	0.0191	-0.618
LOC400499	LOC400499	PJL	20	2	4	526	3.8	0.0571	3.145
STARD9	STARD9	GWD	20	1	8	320	6.25	0.0321	0.669
CDH23	CDH23	GWD	19	0	9	315	6.03	0.0321	0.669
DNAH10	DNAH10	GWD	19	0	8	327	5.81	0.0321	0.669
DST	DST	CHS	19	0	5	422	4.5	0.0171	-0.815
MUC16	MUC16	MXL	19	0	7	1197	1.59	0.0255	0.015
OBSCN	OBSCN	ESN	19	1	5	906	2.1	0.0245	-0.082
OBSCN	OBSCN	PEL	19	2	4	906	2.1	0.0314	0.594
AHNAK2	AHNAK2	PEL	18	0	7	1533	1.17	0.0314	0.594
MUC12	MUC12	CHS	18	0	3	634	2.84	0.0171	-0.815
MUC19	MUC19	GWD	18	5	5	958	1.88	0.0321	0.669
MUC5B	MUC5B	GWD	18	0	10	922	1.95	0.0321	0.669
OBSCN	OBSCN	CEU	18	0	7	906	1.99	0.0169	-0.843
PLEC	PLEC	GWD	18	0	8	672	2.68	0.0321	0.669
TTN	TTN	MSL	18	0	6	1907	0.94	0.0166	-0.873
AHNAK	AHNAK	GWD	17	0	3	521	3.26	0.0321	0.669
AHNAK2	AHNAK2	GWD	17	2	2	1533	1.11	0.0321	0.669
CACNA1H	CACNA1H	GWD	17	2	6	422	4.03	0.0321	0.669
EPPK1	EPPK1	GWD	17	0	7	448	3.79	0.0321	0.669
MUC16	MUC16	IBS	17	1	1	1197	1.42	0.0205	-0.48
OBSCN	OBSCN	IBS	17	0	6	906	1.88	0.0205	-0.48
OBSCN	OBSCN	PJL	17	0	6	906	1.88	0.0571	3.145
PIEZO1	PIEZO1	GWD	17	0	11	388	4.38	0.0321	0.669
PKD1	PKD1	GWD	17	0	9	606	2.81	0.0321	0.669
PKD1	PKD1	PJL	17	0	6	606	2.81	0.0571	3.145
TTN	TTN	STU	17	0	3	1907	0.89	0.0494	2.379
AHNAK2	AHNAK2	ESN	16	0	3	1533	1.04	0.0245	-0.082
FLG	FLG	GWD	16	0	3	783	2.04	0.0321	0.669
LOC400499	LOC400499	GWD	16	2	2	526	3.04	0.0321	0.669
MUC16	MUC16	YRI	16	0	5	1197	1.34	0.0171	-0.815
MUC5AC	MUC5AC	CEU	16	1	5	693	2.31	0.0169	-0.843
MUC5AC	MUC5AC	IBS	16	1	6	693	2.31	0.0205	-0.48
MYO15B	MYO15B	GWD	16	3	4	428	3.74	0.0321	0.669
NEB	NEB	GWD	16	0	4	498	3.21	0.0321	0.669
OBSCN	OBSCN	YRI	16	1	5	906	1.77	0.0171	-0.815
PLEC	PLEC	CHS	16	0	5	672	2.38	0.0171	-0.815
RNF213	RNF213	GWD	16	2	3	415	3.86	0.0321	0.669
TTN	TTN	CDX	16	0	6	1907	0.84	0.0276	0.218
AHNAK2	AHNAK2	CLM	15	0	5	1533	0.98	0.0338	0.838
DNAH17	DNAH17	GWD	15	0	9	524	2.86	0.0321	0.669
HIVEP2	HIVEP2	BEB	15	0	14	394	3.81	0.0275	0.215
HMCN2	HMCN2	LWK	15	0	9	560	2.68	0.0191	-0.618
LAMA5	LAMA5	CHS	15	0	3	493	3.04	0.0171	-0.815
MACF1	MACF1	PEL	15	0	6	388	3.87	0.0314	0.594
MUC16	MUC16	CEU	15	0	5	1197	1.25	0.0169	-0.843
MUC17	MUC17	GWD	15	0	7	668	2.25	0.0321	0.669
PDE1C	PDE1C	CHS	15	2	12	362	4.14	0.0171	-0.815
PLEC	PLEC	CLM	15	0	6	672	2.23	0.0338	0.838
PLEC	PLEC	PJL	15	1	3	672	2.23	0.0571	3.145
PLEC	PLEC	YRI	15	0	7	672	2.23	0.0171	-0.815
RNF213	RNF213	ITU	15	0	6	415	3.61	0.0384	1.295
SYNE1	SYNE1	IBS	15	2	6	484	3.1	0.0205	-0.48
SYNE2	SYNE2	GWD	15	1	8	471	3.18	0.0321	0.669
TRIO	TRIO	YRI	15	0	8	396	3.79	0.0171	-0.815
TTN	TTN	ACB	15	0	4	1907	0.79	0.0154	-0.983
TTN	TTN	JPT	15	0	4	1907	0.79	0.0219	-0.344
AHNAK2	AHNAK2	CEU	14	0	6	1533	0.91	0.0169	-0.843
CHD6	CHD6	GWD	14	0	11	325	4.31	0.0321	0.669
CNTN4	CNTN4	GWD	14	0	13	495	2.83	0.0321	0.669
HMCN2	HMCN2	CHS	14	1	4	560	2.5	0.0171	-0.815
HSPG2	HSPG2	GWD	14	0	8	431	3.25	0.0321	0.669
LOC400499	LOC400499	CHS	14	1	6	526	2.66	0.0171	-0.815
MUC16	MUC16	CLM	14	0	2	1197	1.17	0.0338	0.838
MUC16	MUC16	ESN	14	0	3	1197	1.17	0.0245	-0.082
MUC16	MUC16	PUR	14	1	2	1197	1.17	0.028	0.264
MUC19	MUC19	CEU	14	2	3	958	1.46	0.0169	-0.843
MUC19	MUC19	ESN	14	1	5	958	1.46	0.0245	-0.082
OBSCN	OBSCN	ACB	14	3	5	906	1.55	0.0154	-0.983
PKD1	PKD1	KHV	14	0	4	606	2.31	0.0189	-0.64
PKD1	PKD1	PEL	14	0	5	606	2.31	0.0314	0.594
ADGRV1	ADGRV1	PJL	13	0	1	357	3.64	0.0571	3.145
DNAH1	DNAH1	GWD	13	0	5	318	4.09	0.0321	0.669
DNAH14	DNAH14	KHV	13	9	2	339	3.83	0.0189	-0.64
DST	DST	GWD	13	1	3	422	3.08	0.0321	0.669
FLG	FLG	ACB	13	0	2	783	1.66	0.0154	-0.983
GSE1	GSE1	BEB	13	0	7	432	3.01	0.0275	0.215
GSE1	GSE1	YRI	13	0	6	432	3.01	0.0171	-0.815
HMCN2	HMCN2	PJL	13	0	3	560	2.32	0.0571	3.145
HSPG2	HSPG2	CHS	13	0	3	431	3.02	0.0171	-0.815
MACF1	MACF1	CHS	13	0	5	388	3.35	0.0171	-0.815
MACF1	MACF1	GWD	13	1	5	388	3.35	0.0321	0.669
MACF1	MACF1	YRI	13	0	4	388	3.35	0.0171	-0.815
MUC16	MUC16	LWK	13	0	7	1197	1.09	0.0191	-0.618
MUC16	MUC16	STU	13	0	7	1197	1.09	0.0494	2.379
MUC17	MUC17	YRI	13	0	3	668	1.95	0.0171	-0.815
MUC19	MUC19	BEB	13	3	3	958	1.36	0.0275	0.215
MUC5AC	MUC5AC	GWD	13	1	7	693	1.88	0.0321	0.669
MUC5B	MUC5B	PEL	13	0	4	922	1.41	0.0314	0.594
NEB	NEB	PEL	13	0	4	498	2.61	0.0314	0.594
OBSCN	OBSCN	BEB	13	0	6	906	1.43	0.0275	0.215
PKD1	PKD1	CEU	13	0	6	606	2.15	0.0169	-0.843
PKD1	PKD1	IBS	13	0	5	606	2.15	0.0205	-0.48
PKD1	PKD1	YRI	13	0	4	606	2.15	0.0171	-0.815
PLEC	PLEC	BEB	13	0	7	672	1.93	0.0275	0.215
SYNE1	SYNE1	CEU	13	1	4	484	2.69	0.0169	-0.843
SYNE2	SYNE2	CHS	13	0	3	471	2.76	0.0171	-0.815
SYNE2	SYNE2	MXL	13	1	4	471	2.76	0.0255	0.015
SYNE2	SYNE2	PEL	13	0	7	471	2.76	0.0314	0.594
ABCA13	ABCA13	GWD	12	1	7	344	3.49	0.0321	0.669
CACNA1H	CACNA1H	CHS	12	1	4	422	2.84	0.0171	-0.815
CNTN4	CNTN4	BEB	12	0	12	495	2.42	0.0275	0.215
CNTN4	CNTN4	KHV	12	0	11	495	2.42	0.0189	-0.64
DNAH17	DNAH17	IBS	12	0	3	524	2.29	0.0205	-0.48
DST	DST	IBS	12	1	5	422	2.84	0.0205	-0.48
FCGBP	FCGBP	CHS	12	0	4	454	2.64	0.0171	-0.815
FLG	FLG	CEU	12	2	3	783	1.53	0.0169	-0.843
FLG	FLG	CHS	12	2	4	783	1.53	0.0171	-0.815
HMCN2	HMCN2	CEU	12	1	6	560	2.14	0.0169	-0.843
HMCN2	HMCN2	STU	12	0	4	560	2.14	0.0494	2.379
LAMA5	LAMA5	ESN	12	0	5	493	2.43	0.0245	-0.082
LAMA5	LAMA5	IBS	12	0	5	493	2.43	0.0205	-0.48
MUC12	MUC12	BEB	12	1	5	634	1.89	0.0275	0.215
MUC17	MUC17	CHS	12	0	4	668	1.8	0.0171	-0.815
MUC4	MUC4	LWK	12	0	3	1816	0.66	0.0191	-0.618
MUC4	MUC4	PJL	12	3	6	1816	0.66	0.0571	3.145
MUC5B	MUC5B	PJL	12	0	6	922	1.3	0.0571	3.145
PKD1	PKD1	BEB	12	0	6	606	1.98	0.0275	0.215
RNF213	RNF213	CHS	12	1	3	415	2.89	0.0171	-0.815
RYR1	RYR1	GWD	12	0	6	339	3.54	0.0321	0.669
SETBP1	SETBP1	MXL	12	0	10	483	2.48	0.0255	0.015
SETBP1	SETBP1	PEL	12	0	11	483	2.48	0.0314	0.594
STARD9	STARD9	IBS	12	0	5	320	3.75	0.0205	-0.48
SYNE1	SYNE1	PJL	12	0	3	484	2.48	0.0571	3.145
TRIO	TRIO	GWD	12	0	7	396	3.03	0.0321	0.669
ABCA13	ABCA13	CHS	11	1	3	344	3.2	0.0171	-0.815
AHNAK	AHNAK	MSL	11	0	3	521	2.11	0.0166	-0.873
AHNAK2	AHNAK2	BEB	11	0	8	1533	0.72	0.0275	0.215
AHNAK2	AHNAK2	IBS	11	0	5	1533	0.72	0.0205	-0.48
AHNAK2	AHNAK2	MXL	11	0	4	1533	0.72	0.0255	0.015
AHNAK2	AHNAK2	PUR	11	0	5	1533	0.72	0.028	0.264
CACNA1H	CACNA1H	PJL	11	0	5	422	2.61	0.0571	3.145
CDH23	CDH23	CEU	11	0	6	315	3.49	0.0169	-0.843
CDH23	CDH23	CHS	11	0	4	315	3.49	0.0171	-0.815
CHD6	CHD6	YRI	11	0	9	325	3.38	0.0171	-0.815
CSMD1	CSMD1	GWD	11	0	8	316	3.48	0.0321	0.669
CSMD1	CSMD1	KHV	11	0	2	316	3.48	0.0189	-0.64
DNAH10	DNAH10	CHS	11	0	2	327	3.36	0.0171	-0.815
DNAH14	DNAH14	IBS	11	2	3	339	3.24	0.0205	-0.48
DNAH17	DNAH17	CEU	11	1	6	524	2.1	0.0169	-0.843
DNAH17	DNAH17	CHS	11	0	5	524	2.1	0.0171	-0.815
DNAH17	DNAH17	MXL	11	0	4	524	2.1	0.0255	0.015
DNAH17	DNAH17	PEL	11	0	6	524	2.1	0.0314	0.594
