gene_symbol	dist_kb	fst	n_variants
CRYAA	-995.0	0.124	237
CRYAA	-985.0	0.0579	243
CRYAA	-975.0	0.1156	226
CRYAA	-965.0	0.1005	273
CRYAA	-955.0	0.1151	286
CRYAA	-945.0	0.2227	232
CRYAA	-935.0	0.177	221
CRYAA	-925.0	0.1465	256
CRYAA	-915.0	0.1921	217
CRYAA	-905.0	0.1508	293
CRYAA	-895.0	0.1015	275
CRYAA	-885.0	0.053	285
CRYAA	-875.0	0.1492	263
CRYAA	-865.0	0.1309	288
CRYAA	-855.0	0.1291	260
CRYAA	-845.0	0.1212	256
CRYAA	-835.0	0.2302	270
CRYAA	-825.0	0.1681	295
CRYAA	-815.0	0.0539	338
CRYAA	-805.0	0.0454	296
CRYAA	-795.0	0.0887	327
CRYAA	-785.0	0.1655	276
CRYAA	-775.0	0.1102	229
CRYAA	-765.0	0.0625	287
CRYAA	-755.0	0.1285	268
CRYAA	-745.0	0.1292	237
CRYAA	-735.0	0.1061	232
CRYAA	-725.0	0.1496	294
CRYAA	-715.0	0.1971	279
CRYAA	-705.0	0.1581	226
CRYAA	-695.0	0.168	270
CRYAA	-685.0	0.1526	206
CRYAA	-675.0	0.1182	214
CRYAA	-665.0	0.1155	183
CRYAA	-655.0	0.1597	224
CRYAA	-645.0	0.1211	235
CRYAA	-635.0	0.108	236
CRYAA	-625.0	0.0968	250
CRYAA	-615.0	0.245	245
CRYAA	-605.0	0.1406	293
CRYAA	-595.0	0.146	322
CRYAA	-585.0	0.0799	271
CRYAA	-575.0	0.1829	255
CRYAA	-565.0	0.1057	299
CRYAA	-555.0	0.0631	190
CRYAA	-545.0	0.1347	241
CRYAA	-535.0	0.0801	273
CRYAA	-525.0	0.1	257
CRYAA	-515.0	0.1344	253
CRYAA	-505.0	0.3829	270
CRYAA	-495.0	0.3516	265
CRYAA	-485.0	0.1497	270
CRYAA	-475.0	0.0494	207
CRYAA	-465.0	0.0704	233
CRYAA	-455.0	0.086	247
CRYAA	-445.0	0.0949	250
CRYAA	-435.0	0.1005	256
CRYAA	-425.0	0.1019	225
CRYAA	-415.0	0.197	239
CRYAA	-405.0	0.082	268
CRYAA	-395.0	0.0774	388
CRYAA	-385.0	0.1293	237
CRYAA	-375.0	0.0889	276
CRYAA	-365.0	0.2925	253
CRYAA	-355.0	0.1265	217
CRYAA	-345.0	0.1489	233
CRYAA	-335.0	0.1949	287
CRYAA	-325.0	0.1858	317
CRYAA	-315.0	0.2426	280
CRYAA	-305.0	0.1862	311
CRYAA	-295.0	0.1538	277
CRYAA	-285.0	0.1586	235
CRYAA	-275.0	0.1721	268
CRYAA	-265.0	0.1761	250
CRYAA	-255.0	0.2071	225
CRYAA	-245.0	0.2342	257
CRYAA	-235.0	0.1895	223
CRYAA	-225.0	0.1487	261
CRYAA	-215.0	0.1723	393
CRYAA	-205.0	0.0665	309
CRYAA	-195.0	0.036	307
CRYAA	-185.0	0.017	255
CRYAA	-175.0	0.0368	228
CRYAA	-165.0	0.0416	242
CRYAA	-155.0	0.0508	231
CRYAA	-145.0	0.0245	233
CRYAA	-135.0	0.0528	235
CRYAA	-125.0	0.0595	176
CRYAA	-115.0	0.0235	15
CRYAA	-105.0	0.1323	74
CRYAA	-95.0	0.0165	5
CRYAA	-85.0	0.0657	16
CRYAA	-75.0		0
CRYAA	-65.0		0
CRYAA	-55.0	0.0727	43
CRYAA	-45.0	0.0449	16
CRYAA	-35.0	0.0558	25
CRYAA	-25.0	0.2015	19
CRYAA	-15.0	0.2994	29
CRYAA	-5.0	0.069	70
CRYAA	5.0	0.0163	18
CRYAA	15.0	0.1719	66
CRYAA	25.0	0.0867	243
CRYAA	35.0	0.2268	235
CRYAA	45.0	0.3613	87
CRYAA	55.0		0
CRYAA	65.0		0
CRYAA	75.0		0
CRYAA	85.0		0
CRYAA	95.0	0.2691	136
CRYAA	105.0	0.211	322
CRYAA	115.0	0.226	252
CRYAA	125.0	0.1595	320
CRYAA	135.0	0.2296	353
CRYAA	145.0	0.1934	288
CRYAA	155.0	0.134	296
CRYAA	165.0	0.0953	506
CRYAA	175.0	0.1418	326
CRYAA	185.0	0.1228	278
CRYAA	195.0	0.124	374
CRYAA	205.0	0.1365	225
CRYAA	215.0	0.0786	10
CRYAA	225.0		0
CRYAA	235.0	0.0956	16
CRYAA	245.0		0
CRYAA	255.0		0
CRYAA	265.0		0
CRYAA	275.0		0
CRYAA	285.0		0
CRYAA	295.0	0.0848	46
CRYAA	305.0		0
CRYAA	315.0		0
CRYAA	325.0	0.0791	7
CRYAA	335.0		0
CRYAA	345.0		0
CRYAA	355.0		0
CRYAA	365.0		0
CRYAA	375.0		0
CRYAA	385.0		0
CRYAA	395.0		0
CRYAA	405.0	0.0803	159
CRYAA	415.0	0.0657	327
CRYAA	425.0	0.0716	162
CRYAA	435.0	0.058	201
CRYAA	445.0	0.0537	215
CRYAA	455.0	0.073	166
CRYAA	465.0	0.06	222
CRYAA	475.0	0.0677	205
CRYAA	485.0	0.0682	237
CRYAA	495.0	0.1752	228
CRYAA	505.0	0.1813	193
CRYAA	515.0	0.2208	211
CRYAA	525.0	0.1055	229
CRYAA	535.0	0.0795	282
CRYAA	545.0	0.1708	269
CRYAA	555.0	0.1479	245
CRYAA	565.0	0.0946	278
CRYAA	575.0	0.1147	284
CRYAA	585.0	0.0828	302
CRYAA	595.0	0.0891	304
CRYAA	605.0	0.0593	355
CRYAA	615.0	0.0915	297
CRYAA	625.0	0.0763	275
CRYAA	635.0	0.0521	331
CRYAA	645.0	0.0238	318
CRYAA	655.0	0.0595	426
CRYAA	665.0	0.0681	311
CRYAA	675.0	0.0896	291
CRYAA	685.0	0.0488	289
CRYAA	695.0	0.1128	252
CRYAA	705.0	0.2056	261
CRYAA	715.0	0.1435	228
CRYAA	725.0	0.1143	256
CRYAA	735.0	0.0887	277
CRYAA	745.0	0.174	235
CRYAA	755.0	0.0904	222
CRYAA	765.0	0.1145	291
CRYAA	775.0	0.1204	275
CRYAA	785.0	0.083	299
CRYAA	795.0	0.0942	285
CRYAA	805.0	0.0631	270
CRYAA	815.0	0.0755	262
CRYAA	825.0	0.0932	322
CRYAA	835.0	0.1773	269
CRYAA	845.0	0.2345	237
CRYAA	855.0	0.2739	202
CRYAA	865.0	0.2541	206
CRYAA	875.0	0.1423	218
CRYAA	885.0	0.1828	193
CRYAA	895.0	0.1579	214
CRYAA	905.0	0.1777	206
CRYAA	915.0	0.1514	246
CRYAA	925.0	0.2004	146
CRYAA	935.0	0.0092	8
CRYAA	945.0		0
CRYAA	955.0		0
CRYAA	965.0		0
CRYAA	975.0	0.1109	11
CRYAA	985.0	0.0458	20
CRYAA	995.0	0.0282	14
KCNE1	-995.0	0.0998	218
KCNE1	-985.0	0.1047	231
KCNE1	-975.0	0.056	215
KCNE1	-965.0	0.0985	195
KCNE1	-955.0	0.0833	225
KCNE1	-945.0	0.0724	185
KCNE1	-935.0	0.0764	223
KCNE1	-925.0	0.1182	157
KCNE1	-915.0	0.163	167
KCNE1	-905.0	0.0493	189
KCNE1	-895.0	0.0547	194
KCNE1	-885.0	0.0573	199
KCNE1	-875.0	0.0712	191
KCNE1	-865.0	0.0987	168
KCNE1	-855.0	0.1403	205
KCNE1	-845.0	0.057	191
KCNE1	-835.0	0.0888	196
KCNE1	-825.0	0.0868	205
KCNE1	-815.0	0.1024	208
KCNE1	-805.0	0.1201	220
KCNE1	-795.0	0.1108	195
KCNE1	-785.0	0.0997	207
KCNE1	-775.0	0.1284	232
KCNE1	-765.0	0.1174	203
KCNE1	-755.0	0.0763	205
KCNE1	-745.0	0.0844	183
KCNE1	-735.0	0.0871	210
KCNE1	-725.0	0.0389	202
KCNE1	-715.0	0.1388	186
KCNE1	-705.0	0.1164	239
KCNE1	-695.0	0.0431	158
KCNE1	-685.0	0.0789	161
KCNE1	-675.0	0.0631	198
KCNE1	-665.0	0.0927	161
KCNE1	-655.0	0.0713	177
KCNE1	-645.0	0.0898	240
KCNE1	-635.0	0.1681	220
KCNE1	-625.0	0.123	269
