sampleId	population	group	froh_genome	n_roh_genome	het_rate_chr22	rare_burden_chr22	rare_missense_chr22	stat_pc1	stat_pc2	stat_pc3	umap1	umap2	drift_inbreeding_score	functional_burden_score	diversity_score
HG00096	GBR	European	0.009785	16	0.029033	1201	12	-1.8959	-0.4108	0.0907	10.8243	4.4905	0.7461	-0.9566	-0.8192
HG00097	GBR	European	0.008802	18	0.033249	1138	13	-1.5241	-0.1698	-0.2277	10.8584	4.7023	0.4538	-0.9052	-0.4033
HG00099	GBR	European	0.008607	17	0.035038	1195	16	-1.1425	-0.0742	-0.1583	10.5638	5.6276	0.3001	-0.6841	-0.2364
HG00100	GBR	European	0.00991	19	0.034448	1156	10	-1.6141	-0.0828	-0.6024	11.0311	3.8	0.4274	-1.1059	-0.3451
HG00101	GBR	European	0.012979	24	0.036041	1110	9	-1.7819	0.4198	-0.8615	9.2024	3.3118	0.5219	-1.1869	-0.337
HG00102	GBR	European	0.015004	27	0.036806	1194	21	-1.2292	1.1148	0.0206	7.5612	4.4116	0.5985	-0.3418	-0.357
HG00103	GBR	European	0.011402	19	0.035983	1123	12	-1.4208	0.113	-0.5837	10.2554	4.3295	0.3704	-0.9778	-0.2738
HG00105	GBR	European	0.009314	18	0.033974	1134	13	-1.4701	-0.1135	-0.2984	10.7851	4.6408	0.4201	-0.9063	-0.3612
HG00106	GBR	European	0.006114	13	0.032285	1148	11	-1.4715	-0.7213	-0.2713	12.8518	5.2949	0.328	-1.0395	-0.3723
HG00107	GBR	European	0.012964	25	0.03559	1114	21	-1.2601	0.8122	0.1681	7.8441	4.6507	0.5735	-0.3636	-0.3762
HG00108	GBR	European	0.012575	26	0.030743	1109	8	-2.3892	0.2866	-0.4401	10.1313	3.2406	0.9236	-1.2557	-0.7886
HG00109	GBR	European	0.009354	18	0.035228	1181	16	-1.1834	0.0339	-0.1807	10.3967	5.504	0.3327	-0.688	-0.2519
HG00110	GBR	European	0.035049	25	0.036101	1223	25	-1.4942	2.2465	0.3618	6.4226	4.1509	1.3026	-0.0599	-1.2876
HG00111	GBR	European	0.019919	26	0.033988	1009	15	-1.9565	1.0166	-0.1784	7.9072	3.6545	0.9482	-0.8034	-0.8193
HG00112	GBR	European	0.018912	23	0.034312	1239	17	-1.5969	0.8959	-0.0717	8.067	4.0497	0.8297	-0.6036	-0.747
HG00113	GBR	European	0.009449	19	0.033846	1286	13	-1.4532	-0.0175	-0.3197	10.5782	4.3918	0.4541	-0.8649	-0.3785
HG00114	GBR	European	0.018285	22	0.033321	1180	17	-1.6662	0.7486	0.0415	8.3289	4.1596	0.8581	-0.6197	-0.8077
HG00115	GBR	European	0.005799	12	0.034574	1184	12	-1.1487	-0.6762	-0.4112	13.1178	6.9431	0.1347	-0.9612	-0.1559
HG00116	GBR	European	0.009167	19	0.031808	1185	13	-1.6822	-0.1329	-0.103	10.713	4.2731	0.5887	-0.8924	-0.5467
HG00117	GBR	European	0.03989	46	0.024877	1002	17	-3.889	3.0931	0.7187	5.5323	3.4625	2.6895	-0.6682	-2.4911
HG00118	GBR	European	0.008403	16	0.03482	1152	5	-1.6892	-0.484	-1.0327	12.0572	4.2426	0.2883	-1.4496	-0.2469
HG00119	GBR	European	0.0097	19	0.034468	1259	13	-1.4127	0.015	-0.3754	10.5557	4.3703	0.4187	-0.8723	-0.3342
HG00120	GBR	European	0.012028	23	0.029289	1053	10	-2.3335	0.0637	-0.109	10.2917	3.3951	0.947	-1.134	-0.8936
HG00121	GBR	European	0.016841	24	0.032238	1132	16	-1.8736	0.706	0.068	8.4787	3.9949	0.9251	-0.7013	-0.841
HG00122	GBR	European	0.003541	8	0.038132	1171	21	-0.1798	-0.6548	0.0158	11.242	10.0203	-0.2764	-0.3481	0.257
HG00123	GBR	European	0.009249	19	0.032046	1181	20	-1.3155	0.0835	0.4528	9.1396	5.613	0.5747	-0.4139	-0.5292
HG00125	GBR	European	0.010663	15	0.032482	1100	16	-1.404	-0.1945	0.1091	10.7735	5.7425	0.512	-0.71	-0.5518
HG00126	GBR	European	0.006314	12	0.029647	1103	8	-1.8582	-0.9678	-0.2521	13.1091	5.0121	0.5016	-1.2574	-0.6145
HG00127	GBR	European	0.015517	21	0.033228	1167	12	-1.8282	0.3764	-0.3473	9.4782	3.5451	0.7486	-0.9659	-0.696
HG00128	GBR	European	0.009295	19	0.034142	1179	14	-1.4191	-0.0088	-0.2449	10.5013	4.569	0.4278	-0.8255	-0.3456
