gene_id	n_variants	mean_fst	max_fst	fst_YRI_vs_CEU	fst_YRI_vs_CHB	fst_CEU_vs_CHB	in_sweep	n_conv_groups	max_h12
BTF3	8	0.704056	0.704056	0.704056	None	None	False	0	0.0
LOC105370235	5	0.66521	0.692693	0.692693	0.678969	None	False	0	0.0
FMC1	6	0.662203	0.662203	0.662203	None	None	False	0	0.0
TRIM7-AS1	4	0.601982	0.601982	0.601982	None	None	False	0	0.0
LOC107984732	5	0.543941	0.543941	0.543941	None	None	False	0	0.0
BUD31	10	0.543681	0.613311	0.52028	0.613311	None	False	0	0.0
SMIM33	10	0.543099	0.676278	0.676278	0.342268	None	False	0	0.0
LOC105373757	4	0.530942	0.579531	None	0.579531	0.482354	False	0	0.0
TBC1D13	14	0.506937	0.630047	0.630047	0.514709	None	False	0	0.0
SLC24A5	27	0.505575	0.843234	0.843234	0.051672	0.793472	False	0	0.0
ZNF670-ZNF695	7	0.4999	0.756909	0.321846	0.756909	None	False	0	0.0
LOC101928636	3	0.494112	0.571466	0.425482	0.571466	None	False	0	0.0
MKRN2	16	0.491131	0.856062	0.322517	0.856062	0.448536	False	0	0.0
ID1	16	0.482094	0.81976	0.614442	0.81976	0.106846	False	0	0.0
GIP	12	0.477749	0.588392	0.404658	0.588392	None	False	0	0.0
LOC101929128	5	0.477374	0.532445	None	0.532445	0.422303	False	0	0.0
LOC101929278	4	0.476287	0.51998	0.51998	0.45444	None	False	0	0.0
LOC101930665	9	0.474415	0.613026	0.303543	0.613026	None	False	0	0.0
LOC124902875	10	0.470784	0.582616	0.582616	0.321373	None	False	0	0.0
ARF4	5	0.467547	0.467547	None	0.467547	None	False	0	0.0
LOC105374052	4	0.467449	0.545183	0.36395	0.545183	None	False	0	0.0
RNF135	32	0.466546	0.781079	0.766961	0.781079	0.001806	False	0	0.0
INTS11	51	0.456891	0.667142	0.654993	0.349789	0.667142	False	0	0.0
LOC105372714	7	0.450472	0.498465	None	0.498465	None	False	0	0.0
ETFDH	28	0.446491	0.837409	0.677782	0.837409	0.084316	False	0	0.0
EXOC5	25	0.445874	0.766167	0.730473	0.732732	0.0	False	0	0.0
ERFL	24	0.445829	0.797969	0.797969	0.464711	0.234262	False	0	0.0
RIT1	5	0.445064	0.452674	0.444752	0.452674	None	False	0	0.0
DCAF4L1	16	0.44244	0.833768	0.521718	0.833768	0.140923	False	0	0.0
TMEM192	8	0.438123	0.438123	0.438123	None	None	False	0	0.0
LOC646030	5	0.432846	0.432846	None	None	None	False	0	0.0
SLC45A2	36	0.430919	0.692551	0.692551	0.139501	0.652549	False	0	0.0
NR5A1	27	0.428528	0.659943	0.659943	0.426076	None	False	0	0.0
GRK2	34	0.427912	0.786739	0.72053	0.552349	0.060894	False	0	0.0
TMEM208	7	0.426169	0.426169	0.426169	None	None	False	0	0.0
INS	14	0.425158	0.53304	0.340377	0.53304	None	False	0	0.0
FGF1	13	0.42224	0.705755	0.705755	0.437147	0.247335	False	0	0.0
SLC30A9	27	0.421335	0.793659	0.527384	0.793659	0.147166	False	0	0.0
SRMS	71	0.419891	0.676627	0.405487	0.676627	0.571521	False	0	0.0
LOC105370618	3	0.415961	0.415961	0.415961	None	None	False	0	0.0
PRPF38A	9	0.413242	0.468711	0.460444	0.468711	None	False	0	0.0
MSX2	16	0.413125	0.665862	None	0.665862	None	False	0	0.0
LOC102724458	5	0.407978	0.545995	0.257023	0.545995	None	False	0	0.0
SMIM1	6	0.407413	0.407413	None	None	0.407413	False	0	0.0
PAWR	24	0.40536	0.721672	0.721672	0.418459	0.194102	False	0	0.0
TBC1D10C	36	0.404222	0.753804	0.668951	0.509574	0.061045	False	0	0.0
ACKR1	14	0.403759	0.8667	0.312982	0.8667	0.296256	False	0	0.0
FAIM	19	0.40368	0.601706	0.398583	0.601706	0.398797	False	0	0.0
TMEM88B	21	0.403462	0.630051	0.44091	0.422071	0.630051	False	0	0.0
KBTBD7	23	0.40337	0.745675	0.745675	0.26438	0.354746	False	0	0.0
TMEM130	38	0.40267	0.733018	0.592482	0.649495	0.000284	False	0	0.0
TMEM225B	26	0.40113	0.722287	0.722287	0.543919	0.097408	False	0	0.0
CRH	6	0.397899	0.520383	0.520383	0.253221	None	False	0	0.0
SPATA5L1	53	0.397822	0.565504	0.467066	0.546637	0.565504	False	0	0.0
PAK1IP1	25	0.396265	0.653525	0.649518	0.653525	0.01956	False	0	0.0
SNRPD3	7	0.395856	0.395856	None	0.395856	None	False	0	0.0
LOC105370512	3	0.394371	0.394371	0.394371	None	None	False	0	0.0
SLC28A2	41	0.394036	0.542116	0.542116	0.436382	0.529526	False	0	0.0
LOC124903470	10	0.393565	0.393565	None	0.393565	None	False	0	0.0
LINC02003	3	0.392996	0.392996	0.392996	None	None	False	0	0.0
SFRP1	13	0.392326	0.490117	0.321966	0.364896	None	False	0	0.0
EP400P1	6	0.391416	0.41347	0.41347	0.410107	None	False	0	0.0
RAB3GAP1	46	0.389223	0.608125	0.528782	0.225919	0.608125	False	0	0.0
LINC01194	6	0.389097	0.614688	0.614688	0.186543	None	False	0	0.0
TMEM238	10	0.389033	0.681625	0.628653	0.634887	0.0	False	0	0.0
